Ship name,IMO Number,Flag,Gross tonnage,Type of ship,Date,Time,Area,Latitude,Longitude,Place,Label
JIAN FA,9132868.0,Panama,25074.0,Bulk carrier,2019-12-21,05:32,Malacca Strait,1° 13.95' N,103° 59.98' E,In territorial waters,1
AKIJ GLOBE,9293105.0,Bangladesh,30000.0,Bulk carrier,2019-12-20,23:38,Malacca Strait,1° 15.34' N,104° 03.17' E,In territorial waters,1
JAG LALIT,9297905.0,India,81396.0,Tanker,2019-12-20,23:25,Malacca Strait,1° 15.70' N,104° 04.80' E,In territorial waters,1
AFRICAN KALMIA,9666431.0,Liberia,19213.0,Bulk carrier,2019-12-21,22:30,West Africa,0° 19.50' N,9° 23.70' E,In port area,1
BERGE ASAHIDAKE,9713181.0,Isle of Man (United Kingdom),21530.0,Bulk carrier,2019-12-10,20:25,Indian Ocean,5° 30.30' S,105° 17.50' E,In port area,1
MAERSK TRADER,9388596.0,DIS (Denmark),4678.0,Tug,2019-12-17,02:30,West Africa,4° 45.90' S,11° 46.60' E,In territorial waters,1
Duke,9262259.0,Marshall Islands,11118.0,Product tanker,2019-12-15,08:00,West Africa,4° 23.59' N,2° 03.15' E,In international waters,1
OCEAN MERCURY,9616735.0,Panama,22662.0,Bulk carrier,2019-11-11,08:50,South America (P),21° 01.70' S,77° 12.62' W,In port area,1
NAVE CONSTELLATION,9515929.0,"Hong Kong, China",157039.0,Tanker,2019-12-03,19:10,West Africa,3° 06.00' N,7° 07.00' E,In territorial waters,1
BW LOYALTY,9492622.0,Singapore,160.0,Tug,2019-12-02,02:10,Malacca Strait,1° 10.95' N,103° 56.63' E,In territorial waters,1
DIONE,9213363.0,Marshall Islands,40622.0,Bulk carrier,2019-12-01,06:05,Indian Ocean,17° 36.89' N,83° 21.98' E,In port area,1
KIM HOCK TUG 8,9557537.0,Singapore,299.0,Tug,2019-12-06,11:32,Malacca Strait,1° 10.59' N,103° 50.60' E,In territorial waters,1
CANO,9662332.0,Malta,24086.0,Bulk carrier,2019-12-03,07:15,South America (P),12° 01.40' S,77° 13.30' W,In territorial waters,1
RIO DAYTONA,9449443.0,Marshall Islands,8278.0,Tanker,2019-11-30,03:30,South China Sea,13° 43.90' N,121° 02.50' E,In port area,1
CHINA PIONEER,9588768.0,"Hong Kong, China",106884.0,Bulk carrier,2019-11-28,23:20,Malacca Strait,1° 16.20' N,104° 13.40' E,In territorial waters,1
CMA CGM NEW JERSEY,9351141.0,Malta,54309.0,Container ship,2019-11-30,21:40,South China Sea,14° 32.77' N,120° 52.65' E,In port area,1
KMAX EVDOKIA,9341873.0,Marshall Islands,41662.0,Bulk carrier,2019-11-27,20:45,Malacca Strait,1° 17.79' N,104° 20.45' E,In territorial waters,1
FAYE,9553062.0,Marshall Islands,39737.0,Bulk carrier,2019-11-23,05:22,Malacca Strait,1° 16.29' N,104° 14.08' E,In territorial waters,1
HARBOUR LIBRA,9570383.0,Malaysia,163.0,Tug,2019-11-24,03:30,Malacca Strait,1° 14.25' N,104° 04.01' E,In territorial waters,1
GALVESTON HIGHWAY,9675573.0,Panama,59525.0,Vehicle carrier,2019-11-23,10:20,South America (P),12° 01.80' S,77° 11.70' W,In port area,1
BALTIC MANTIS,9729489.0,Marshall Islands,36353.0,Bulk carrier,2019-11-19,21:55,East Africa,14° 22.51' S,40° 42.67' E,In port area,1
SILVER MILLIE,9692363.0,Marshall Islands,29327.0,Tanker,2019-11-09,01:00,South China Sea,13° 45.00' N,121° 01.00' E,In port area,1
Bonita,9494060.0,Norway,32315.0,Bulk carrier,2019-11-02,03:20,West Africa,6° 14.90' N,2° 32.90' E,In territorial waters,1
GT EQUALITY,9205512.0,Viet Nam,4159.0,Product tanker,2019-11-05,11:48,Malacca Strait,1° 12.60' N,103° 34.30' E,In territorial waters,1
ATLANTIC LAUREL,9494747.0,Panama,20243.0,Bulk carrier,2019-11-08,02:05,West Africa,30° 25.55' N,9° 38.88' W,In port area,1
CASCADE SPIRIT,9399492.0,Bahamas,83545.0,Tanker,2019-11-07,00:15,West Africa,1° 13.60' N,6° 09.60' E,In international waters,1
MAERSK BORNEO,9341445.0,Singapore,19758.0,Product tanker,2019-11-07,19:00,Malacca Strait,3° 47.20' N,98° 41.80' E,In port area,1
Elka Aristotle,9249099.0,Greece,55096.0,Product tanker,2019-11-04,02:40,West Africa,5° 58.22' N,1° 15.70' E,In territorial waters,1
NCC Amal,9411317.0,Saudi Arabia,29168.0,Product tanker,2019-10-24,21:15,Malacca Strait,1° 03.00' N,103° 38.00' E,In territorial waters,1
MAERSK ROUBAIX,9332688.0,"Hong Kong, China",9957.0,Container ship,2019-10-20,03:20,West Africa,4° 45.19' S,11° 46.77' E,In port area,1
CSK ENTERPRISE,9816555.0,Singapore,107449.0,Bulk carrier,2019-10-21,17:47,Indian Ocean,6° 01.30' S,105° 53.80' E,In port area,1
HIRADO,9377420.0,Greece,159806.0,Ore/bulk/oil Carrier,2019-10-18,23:24,Malacca Strait,1° 06.23' N,103° 43.76' E,In territorial waters,1
NORD STEEL,9406518.0,Singapore,90086.0,Bulk carrier,2019-10-19,17:00,Malacca Strait,1° 03.45' N,103° 38.70' E,In territorial waters,1
ANSHUN,9851347.0,Panama,24332.0,Bulk carrier,2019-10-12,00:10,South America (C),18° 33.90' N,72° 23.20' W,In port area,1
CLIPPER EOS,9827205.0,NIS (Norway),18898.0,LPG tanker,2019-10-05,18:00,Malacca Strait,1° 18.14' N,104° 07.03' E,In port area,1
ASD JAGUAR,7423861.0,Zanzibar (United Republic of Tanzania),1512.0,Supply ship,2019-10-03,16:30,Indian Ocean,21° 08.50' N,70° 07.20' E,In territorial waters,1
UACC MIRDIF,9402794.0,Marshall Islands,26916.0,Product tanker,2019-10-05,02:00,West Africa,6° 17.20' N,3° 13.80' E,In port area,1
DORTHE OLDENDORFF,9598921.0,Liberia,24726.0,Bulk carrier,2019-09-30,07:00,South America (P),12° 01.50' S,77° 11.90' W,In port area,1
NCC QASSIM,9306811.0,Saudi Arabia,29575.0,Tanker,2019-09-24,00:15,South China Sea,13° 46.00' N,120° 59.00' E,In port area,1
TRANSPACIFIC,9597226.0,Malta,43721.0,Bulk carrier,2019-09-30,23:14,Malacca Strait,1° 03.83' N,103° 41.20' E,In territorial waters,1
TRAMMO CORNELL,9543081.0,Singapore,25600.0,LPG tanker,2019-09-23,19:25,Indian Ocean,17° 03.80' N,82° 26.00' E,In port area,1
TSL ROSEMARY,9527192.0,"Hong Kong, China",21483.0,General cargo ship,2019-09-25,22:06,South China Sea,1° 36.00' N,104° 32.70' E,In international waters,1
FRONT LEOPARD,9703320.0,Marshall Islands,62700.0,Tanker,2019-09-25,20:15,South China Sea,1° 34.00' N,104° 31.00' E,In international waters,1
EF ELDRA,9470882.0,Marshall Islands,16137.0,Container ship,2019-09-22,01:00,South America (P),2° 32.43' S,80° 05.72' W,In territorial waters,1
GRACE VICTORIA,9321201.0,Singapore,40953.0,Product tanker,2019-09-23,03:15,West Africa,6° 17.70' N,3° 14.10' E,In territorial waters,1
ORIENT TIDE,9467550.0,Marshall Islands,23426.0,Bulk carrier,2019-09-12,07:00,West Africa,4° 03.10' N,9° 41.00' E,In port area,1
BRITISH CONTRIBUTOR,9766554.0,Isle of Man (United Kingdom),115366.0,Tanker,2019-09-08,09:08,Malacca Strait,1° 34.59' N,104° 30.90' E,In international waters,1
EAGLE,9233753.0,Marshall Islands,160904.0,Tanker,2019-08-25,20:45,Malacca Strait,1° 35.00' N,104° 32.00' E,In international waters,1
TOMINI DYNASTY,9721360.0,Marshall Islands,36308.0,Bulk carrier,2019-08-22,18:30,Malacca Strait,3° 54.40' N,98° 47.25' E,In port area,1
SALVICEROY,9351830.0,Singapore,2658.0,Tug,2019-08-20,20:40,Malacca Strait,1° 06.15' N,103° 53.06' E,In port area,1
PRINCE JOB 1,9738636.0,Nigeria,1847.0,Supply ship,2019-08-14,01:30,West Africa,4° 40.50' N,7° 09.31' E,In port area,1
KIEN SAN 1,9218600.0,Malaysia,192.0,Tug,2019-08-15,16:59,Malacca Strait,1° 12.95' N,104° 33.31' E,In territorial waters,1
KOTA WARIS,9157404.0,Singapore,16772.0,Container ship,2019-08-11,19:30,South China Sea,10° 44.30' N,106° 46.20' E,In port area,1
JOSEPH WISDOM,9806732.0,Panama,5848.0,Tanker,2019-08-14,10:50,West Africa,4° 09.60' N,8° 22.50' E,In international waters,1
CELSIUS RIGA,9430284.0,Marshall Islands,29130.0,Chemical tanker,2019-08-07,19:30,East Africa,14° 23.30' S,40° 42.00' E,In port area,1
SG PEGASUS,9494876.0,Panama,8195.0,Chemical tanker,2019-08-06,20:00,Malacca Strait,1° 06.20' N,104° 10.70' E,In port area,1
SPRING RAINBOW,9666041.0,"Hong Kong, China",36467.0,Bulk carrier,2019-07-25,04:42,West Africa,6° 25.76' N,3° 20.52' E,In port area,1
NEW CENTURY,9298272.0,Marshall Islands,41994.0,Oil tanker,2019-07-26,21:30,East Africa,4° 04.60' S,39° 39.80' E,In port area,1
SICHEM RIO,9322073.0,Malta,8562.0,Chemical tanker,2019-07-30,22:20,South China Sea,6° 01.10' S,106° 52.80' E,In territorial waters,1
STRATEGIC UNITY,9648099.0,Singapore,24641.0,Bulk carrier,2019-07-30,23:20,Malacca Strait,3° 56.80' N,98° 48.70' E,In territorial waters,1
VIRGO 29,9576612.0,Malaysia,149.0,Tug,2019-07-25,07:30,Malacca Strait,1° 13.50' N,103° 31.63' E,In territorial waters,1
BLISS,9370331.0,Marshall Islands,21059.0,Bulk carrier,2019-07-29,03:30,West Africa,6° 19.79' N,10° 51.40' W,In port area,1
CREST ONYX,9655717.0,Indonesia,1727.0,Tug,2019-07-22,23:00,Malacca Strait,1° 04.15' N,103° 54.20' E,In port area,1
TORM THOR,9712292.0,Singapore,29484.0,Chemical tanker,2019-07-26,03:30,West Africa,6° 18.06' N,3° 23.35' E,In port area,1
MOLENGRACHT,9571533.0,Netherlands,9524.0,General cargo ship,2019-07-25,12:40,South China Sea,10° 44.00' N,106° 44.00' E,In port area,1
CK BLUEBELL,9595876.0,Republic of Korea,44132.0,Bulk carrier,2019-07-21,19:25,South China Sea,2° 55.80' N,105° 10.80' E,In international waters,1
POMERENIA SKY,9339583.0,Liberia,26435.0,Container ship,2019-07-21,02:40,West Africa,8° 28.00' N,13° 28.10' W,In port area,1
SAFESEA NEHA II,9347918.0,Liberia,31144.0,Bulk carrier,2019-05-31,15:30,South China Sea,1° 35.83' N,104° 28.73' E,In international waters,1
PETERBOROUGH,9483188.0,Liberia,32672.0,Bulk carrier,2019-02-19,13:45,South China Sea,3° 41.36' S,114° 26.46' E,In territorial waters,1
ASIA JAYA 28,9517501.0,Malaysia,145.0,Tug,2019-05-30,22:30,Malacca Strait,1° 13.25' N,103° 32.75' E,In territorial waters,1
CS SONOMA,9569944.0,Bahamas,32987.0,Bulk carrier,2019-05-31,05:25,South America (A),0° 03.27' N,50° 58.93' W,In territorial waters,1
CSK ENTERPRISE,9816555.0,Singapore,107449.0,Bulk carrier,2019-05-28,18:52,South China Sea,5° 59.80' S,105° 57.80' E,In port area,1
ODYSSEAS L,9597381.0,Liberia,44180.0,Bulk carrier,2019-05-23,13:30,South China Sea,3° 43.00' S,114° 26.30' E,In territorial waters,1
D&K YUSUF I. AL-GHANIM,9399624.0,Marshall Islands,30952.0,Product tanker,2019-05-26,20:00,East Africa,14° 32.56' S,40° 39.16' E,In territorial waters,1
METHANE MICKIE HARPER,9520376.0,Bermuda (United Kingdom),109004.0,Gas carrier - LNG,2019-05-18,05:55,South America (P),11° 59.80' S,77° 11.90' W,In territorial waters,1
HANZE GENDT,9605176.0,Netherlands,24210.0,Bulk carrier,2019-05-14,01:42,West Africa,9° 23.94' N,13° 41.26' W,In territorial waters,1
DA YANG BAI LI,9607978.0,China,7216.0,General cargo ship,2019-05-12,18:10,South China Sea,1° 00.10' N,104° 54.80' E,In territorial waters,1
ARIONAS,9315757.0,Marshall Islands,23270.0,Tanker,2019-05-09,22:10,Indian Ocean,22° 46.80' N,70° 02.80' E,In port area,1
ZHE HAI 169,9622784.0,China,32962.0,Bulk carrier,2019-05-10,01:00,South China Sea,7° 40.80' N,128° 29.30' E,In international waters,1
BLUE MARLIN,9186338.0,Malta,51821.0,Heavy load carrier,2019-05-05,12:16,West Africa,3° 03.20' N,7° 52.30' E,In international waters,1
CHARIS,9616254.0,Nigeria,298.0,Tug,2019-05-05,12:00,West Africa,3° 04.00' N,7° 59.00' E,In international waters,1
PRINCESS PAULA,9300207.0,"Hong Kong, China",19885.0,Bulk carrier,2019-05-11,10:00,South China Sea,1° 42.76' N,101° 26.62' E,In territorial waters,1
SIVIU,9541289.0,Marshall Islands,11290.0,Product tanker,2019-04-28,05:04,West Africa,5° 50.50' S,13° 25.50' E,In territorial waters,1
TAURUS,9403530.0,Isle of Man (United Kingdom),93196.0,Bulk carrier,2019-04-25,03:40,South America (C),12° 17.90' N,72° 01.20' W,In territorial waters,1
MARLIN AMBER,9697210.0,Marshall Islands,29534.0,Product tanker,2019-05-03,00:10,West Africa,6° 16.07' N,3° 13.11' E,In territorial waters,1
AREQUIPA QUEEN,9758765.0,Vanuatu,30598.0,Bulk carrier,2019-05-03,20:10,South America (P),0° 08.00' S,81° 19.90' W,In international waters,1
MARIA SOLTIN,7203699.0,Nigeria,805.0,Tanker,2019-04-05,21:00,West Africa,5° 49.10' N,3° 49.00' E,In territorial waters,1
CS JOLA,9791896.0,Marshall Islands,23269.0,Bulk carrier,2019-04-26,07:00,South America (P),12° 01.00' S,77° 13.00' W,In territorial waters,1
OCEAN GLADIATOR,9241827.0,Marshall Islands,25382.0,Product tanker,2019-04-25,02:15,West Africa,6° 20.29' N,3° 20.50' E,In territorial waters,1
SELETAR SPIRIT,9484077.0,Bahamas,60193.0,Tanker,2019-04-26,03:30,South America (C),10° 17.00' N,64° 42.20' W,In territorial waters,1
TORM HILDE,9798014.0,Singapore,64459.0,Oil tanker,2019-04-25,22:00,South America (C),10° 12.30' N,64° 45.90' W,In territorial waters,1
UNION TOPAZ,9406427.0,Cyprus,493.0,Tug,2019-04-24,05:10,Malacca Strait,1° 10.63' N,103° 34.30' E,In territorial waters,1
SONANGOL NAMIBE,9325049.0,Bahamas,83469.0,Tanker,2019-04-13,10:06,Indian Ocean,17° 37.09' N,83° 19.20' E,In territorial waters,1
NYK LYRA,9229336.0,Panama,75201.0,Container ship,2019-04-19,05:35,South America (P),3° 47.60' N,77° 14.30' W,In territorial waters,1
PORT IMABARI,9846263.0,Marshall Islands,35825.0,Bulk carrier,2019-04-14,06:45,South America (P),12° 02.90' S,77° 11.20' W,In territorial waters,1
SAN PADRE PIO,9610339.0,Switzerland,5422.0,Product tanker,2019-04-15,20:20,West Africa,4° 28.10' N,7° 10.10' E,In territorial waters,1
NORD STEADY,9629706.0,Singapore,29983.0,Product tanker,2019-03-30,04:10,West Africa,6° 18.90' N,3° 17.40' E,In territorial waters,1
NAKHAL SILVER,9718765.0,Marshall Islands,29354.0,Product tanker,2019-03-26,20:30,South China Sea,13° 44.00' N,121° 02.01' E,In territorial waters,1
ANUKET PEARL,9395886.0,Malta,5581.0,Product tanker,2019-03-29,02:36,West Africa,4° 52.86' N,1° 41.42' W,In port area,1
TRF KAYA,9330549.0,Liberia,28616.0,Container ship,2019-03-26,20:30,South China Sea,14° 33.30' N,120° 54.10' E,In port area,1
DIAMONDWAY,9742895.0,Liberia,81545.0,Tanker,2019-03-28,04:10,South America (C),10° 11.40' N,64° 52.10' W,In port area,1
NORD STEADY,9629706.0,Singapore,29983.0,Product tanker,2019-03-24,22:35,West Africa,6° 15.20' N,3° 12.30' E,In territorial waters,1
NAVIGATOR VIRGO,9404819.0,Liberia,18311.0,LPG tanker,2019-03-21,09:00,South America (C),18° 24.80' N,69° 19.10' W,In territorial waters,1
CABO FUJI,9730878.0,Panama,42791.0,Tanker,2019-03-21,04:35,South America (C),10° 11.20' N,64° 47.40' W,In territorial waters,1
JIN HWA 43,9689768.0,Malaysia,148.0,Tug,2019-02-05,17:09,Malacca Strait,1° 12.63' N,103° 34.79' E,In territorial waters,1
BOURBON EXPLORER 502,9653898.0,FIS (France),3147.0,Supply ship,2019-02-28,08:15,West Africa,3° 52.80' N,7° 04.50' E,In international waters,1
HISTRIA IVORY,9356244.0,Malta,25804.0,Tanker,2019-03-03,19:40,West Africa,5° 52.00' N,1° 24.00' E,In international waters,1
PILION,9425825.0,Barbados,32210.0,Bulk carrier,2019-03-10,04:30,South America (A),0° 03.50' N,50° 57.80' W,In territorial waters,1
HUB III,9434008.0,Malaysia,270.0,Tug,2019-03-05,11:10,Malacca Strait,1° 12.08' N,103° 34.62' E,In territorial waters,1
CAP THEODORA,9380740.0,Greece,81324.0,Tanker,2019-03-02,12:33,West Africa,4° 38.00' N,3° 14.10' E,In international waters,1
ANNA,9501887.0,Antigua and Barbuda,11473.0,General cargo ship,2019-02-23,04:00,West Africa,4° 54.60' N,1° 40.20' W,In territorial waters,1
AFRICAN GEM,9085390.0,Panama,28326.0,Product tanker,2019-02-27,20:00,West Africa,3° 08.00' N,6° 03.00' E,In international waters,1
MAERSK JAMNAGAR,9524982.0,Singapore,56326.0,Oil tanker,2019-02-27,05:00,West Africa,4° 56.40' N,1° 34.30' W,In territorial waters,1
KOTA SATRIA,9645487.0,Singapore,41567.0,Container ship,2019-02-21,00:16,West Africa,2° 59.90' N,5° 56.60' E,In international waters,1
EVER DIEM,9134270.0,Singapore,52090.0,Container ship,2019-02-11,10:00,Indian Ocean,2° 29.60' S,54° 09.00' E,In international waters,1
HISTRIA IVORY,9356244.0,Malta,25804.0,Product tanker,2019-02-09,03:40,West Africa,6° 21.10' N,10° 47.80' W,In port area,1
RTM DAMPIER,9591325.0,Singapore,106796.0,Bulk carrier,2019-02-10,18:40,Yellow Sea,38° 52.50' N,118° 42.60' E,In territorial waters,1
MAERSK CAPRI,9786140.0,Singapore,29816.0,Tanker,2019-02-05,22:05,Malacca Strait,3° 55.40' N,98° 40.00' E,In territorial waters,1
MAERSK ERIK,9316608.0,Singapore,25382.0,Product tanker,2019-02-03,16:30,Indian Ocean,23° 02.02' N,70° 13.39' E,In port area,1
NORD VALOROUS,9827059.0,Liberia,29557.0,Product tanker,2019-01-19,22:40,West Africa,5° 12.40' N,4° 02.80' W,In territorial waters,1
FMG NORTHERN SPIRIT,9753595.0,"Hong Kong, China",134693.0,Ore/bulk/oil Carrier,2019-01-29,16:55,Yellow Sea,38° 52.80' N,119° 11.80' E,In international waters,1
GERD KNUTSEN,9041057.0,Isle of Man (United Kingdom),79592.0,Tanker,2019-01-17,03:40,South America (C),10° 11.70' N,64° 47.30' W,In territorial waters,1
MSC Mandy,8918966.0,Panama,37071.0,Container ship,2019-01-02,00:01,West Africa,5° 28.00' N,2° 21.00' E,In international waters,1
FSL SINGAPORE,9311725.0,Singapore,28068.0,Tanker,2019-01-04,00:25,West Africa,6° 17.79' N,3° 19.29' E,In territorial waters,1
ALLEGRA,9114476.0,Liberia,14599.0,Bulk carrier,2019-01-25,00:15,West Africa,3° 32.00' N,6° 11.60' E,In international waters,1
MITO,9587788.0,Panama,9815.0,General cargo ship,2019-01-11,07:00,South China Sea,5° 59.20' S,105° 56.10' E,In territorial waters,1
ANUKET AMBER,9395733.0,Panama,6952.0,Product tanker,2018-10-29,12:12,West Africa,4° 47.00' S,10° 08.00' E,In international waters,1
ARAMON,9440485.0,Marshall Islands,42225.0,Product tanker,2019-01-07,01:10,West Africa,6° 15.70' N,3° 12.80' E,In territorial waters,1
TWO MILLION WAYS,9334571.0,Cyprus,40865.0,Tanker,2019-01-07,03:20,West Africa,6° 16.29' N,3° 20.10' E,In territorial waters,1
CMA CGM KINGSTON,9376907.0,MAR (Portugal),16162.0,Container ship,2019-01-03,03:28,South America (C),10° 19.10' N,75° 31.30' W,In territorial waters,1
STAR KESTREL,9321940.0,Panama,30068.0,Tanker,2019-01-03,04:45,South America (C),10° 16.00' N,64° 42.00' W,In territorial waters,1
OCEAN PROMISE,9215892.0,United Kingdom,26718.0,Container ship,2018-12-22,00:59,West Africa,4° 44.90' S,11° 45.40' E,In territorial waters,1
BLACKCOMB SPIRIT,9417335.0,Bahamas,60185.0,Tanker,2018-12-14,08:10,South America (C),10° 11.86' N,64° 46.90' W,In territorial waters,1
CAMDEN,9435557.0,Marshall Islands,8539.0,Tanker,2018-12-14,23:35,West Africa,4° 39.90' N,4° 01.00' E,In international waters,1
NORD LAVENDER,9729233.0,Philippines,42791.0,Oil tanker,2018-12-13,11:45,Arabian Sea,11° 57.08' N,45° 00.08' E,In international waters,1
MAGTRANS II,9594652.0,Malaysia,363.0,Tug,2018-12-05,19:23,South China Sea,5° 38.00' N,118° 57.00' E,In territorial waters,1
NAVIOS AMARILLO,9324849.0,Marshall Islands,39906.0,Container ship,2018-12-09,23:10,South China Sea,6° 55.00' S,106° 54.00' E,In international waters,1
GLOVIS MAPLE,9607019.0,Bahamas,32545.0,Bulk carrier,2018-12-09,23:10,South China Sea,20° 55.12' N,107° 17.41' E,In port area,1
SAAVEDRA TIDE,9697090.0,Vanuatu,3927.0,Supply ship,2018-12-04,18:00,West Africa,3° 08.00' N,6° 20.00' E,In international waters,1
ECO LUCIDITY,9733624.0,Marshall Islands,3992.0,LPG tanker,2018-12-03,19:00,South China Sea,5° 52.10' S,106° 04.88' E,In port area,1
BRITISH SEAFARER,9724609.0,Isle of Man (United Kingdom),30948.0,Tanker,2018-11-21,21:18,North Atlantic Ocean,6° 21.40' N,3° 19.29' E,In port area,1
BEKS CENK,9625815.0,Marshall Islands,33329.0,Bulk carrier,2018-11-21,03:00,North Atlantic Ocean,9° 19.79' N,13° 44.10' W,In port area,1
LYCRA LEADER,9284752.0,Japan,62623.0,Vehicle carrier,2018-11-24,05:05,South America (P),12° 01.48' S,77° 11.30' W,In port area,1
PO YANG HU,9284374.0,Singapore,42010.0,Tanker,2018-11-02,12:40,Arabian Sea,13° 27.75' N,50° 12.24' E,In territorial waters,1
LNG RIVER,9262235.0,Niger,115993.0,Gas carrier - LNG,2018-11-06,06:12,West Africa,3° 57.37' N,6° 50.59' E,In international waters,1
NORTHERN DEFENDER,9329643.0,Liberia,35975.0,Container ship,2018-11-04,01:00,South China Sea,13° 42.46' N,121° 03.00' E,In port area,1
